Date,Hour,PV Generation (MW),Wind Generation (MW)
11-Jan,20,0.000,0.511
11-Jan,21,0.000,0.495
11-Jan,22,0.000,0.489
11-Jan,23,0.000,0.475
12-Jan,0,0.000,0.459
12-Jan,1,0.000,0.442
12-Jan,2,0.000,0.427
12-Jan,3,0.000,0.421
12-Jan,4,0.000,0.439
12-Jan,5,0.000,0.467
12-Jan,6,0.000,0.493
12-Jan,7,0.002,0.512
12-Jan,8,0.016,0.537
12-Jan,9,0.036,0.581
12-Jan,10,0.044,0.645
12-Jan,11,0.047,0.694
12-Jan,12,0.039,0.718
12-Jan,13,0.025,0.736
12-Jan,14,0.009,0.744
12-Jan,15,0.001,0.751
12-Jan,16,0.000,0.754
12-Jan,17,0.000,0.759
12-Jan,18,0.000,0.748
12-Jan,19,0.000,0.737
12-Jan,20,0.000,0.707
12-Jan,21,0.000,0.680
12-Jan,22,0.000,0.679
12-Jan,23,0.000,0.678
13-Jan,0,0.000,0.656
13-Jan,1,0.000,0.629
13-Jan,2,0.000,0.615
13-Jan,3,0.000,0.609
13-Jan,4,0.000,0.597
13-Jan,5,0.000,0.612
13-Jan,6,0.000,0.636
13-Jan,7,0.003,0.676
13-Jan,8,0.013,0.723
13-Jan,9,0.028,0.769
13-Jan,10,0.039,0.808
13-Jan,11,0.042,0.840
13-Jan,12,0.036,0.861
13-Jan,13,0.023,0.871
13-Jan,14,0.009,0.887
13-Jan,15,0.001,0.895
13-Jan,16,0.000,0.915
13-Jan,17,0.000,0.939
13-Jan,18,0.000,0.952
13-Jan,19,0.000,0.952
13-Jan,20,0.000,0.945
13-Jan,21,0.000,0.904
13-Jan,22,0.000,0.864
13-Jan,23,0.000,0.860
14-Jan,0,0.000,0.845
14-Jan,1,0.000,0.824
14-Jan,2,0.000,0.796
14-Jan,3,0.000,0.771
14-Jan,4,0.000,0.758
14-Jan,5,0.000,0.769
14-Jan,6,0.000,0.760
14-Jan,7,0.007,0.737
14-Jan,8,0.050,0.712
14-Jan,9,0.111,0.706
14-Jan,10,0.156,0.740
14-Jan,11,0.167,0.757
14-Jan,12,0.144,0.776
14-Jan,13,0.110,0.759
14-Jan,14,0.051,0.736
14-Jan,15,0.005,0.715
14-Jan,16,0.000,0.684
14-Jan,17,0.000,0.664
14-Jan,18,0.000,0.652
14-Jan,19,0.000,0.646
14-Jan,20,0.000,0.641
14-Jan,21,0.000,0.619
14-Jan,22,0.000,0.602
14-Jan,23,0.000,0.592
15-Jan,0,0.000,0.605
15-Jan,1,0.000,0.622
15-Jan,2,0.000,0.646
15-Jan,3,0.000,0.668
15-Jan,4,0.000,0.683
15-Jan,5,0.000,0.710
15-Jan,6,0.000,0.725
15-Jan,7,0.004,0.722
15-Jan,8,0.030,0.722
15-Jan,9,0.064,0.721
15-Jan,10,0.085,0.739
15-Jan,11,0.100,0.756
15-Jan,12,0.096,0.761
15-Jan,13,0.070,0.771
15-Jan,14,0.027,0.810
15-Jan,15,0.003,0.830
15-Jan,16,0.000,0.838
15-Jan,17,0.000,0.837
15-Jan,18,0.000,0.829
15-Jan,19,0.000,0.815
15-Jan,20,0.000,0.794
15-Jan,21,0.000,0.754
15-Jan,22,0.000,0.741
15-Jan,23,0.000,0.720
16-Jan,0,0.000,0.694
16-Jan,1,0.000,0.670
16-Jan,2,0.000,0.658
16-Jan,3,0.000,0.642
16-Jan,4,0.000,0.608
16-Jan,5,0.000,0.591
16-Jan,6,0.000,0.575
16-Jan,7,0.010,0.556
16-Jan,8,0.056,0.554
16-Jan,9,0.123,0.566
16-Jan,10,0.180,0.585
16-Jan,11,0.203,0.593
16-Jan,12,0.193,0.594
16-Jan,13,0.144,0.574
16-Jan,14,0.066,0.561
16-Jan,15,0.009,0.567
16-Jan,16,0.000,0.579
16-Jan,17,0.000,0.602
16-Jan,18,0.000,0.633
16-Jan,19,0.000,0.654
16-Jan,20,0.000,0.677
16-Jan,21,0.000,0.677
16-Jan,22,0.000,0.689
16-Jan,23,0.000,0.693
17-Jan,0,0.000,0.692
17-Jan,1,0.000,0.691
17-Jan,2,0.000,0.703
17-Jan,3,0.000,0.708
17-Jan,4,0.000,0.691
17-Jan,5,0.000,0.683
17-Jan,6,0.000,0.659
17-Jan,7,0.011,0.633
17-Jan,8,0.050,0.601
17-Jan,9,0.089,0.604
17-Jan,10,0.118,0.613
17-Jan,11,0.122,0.600
17-Jan,12,0.113,0.591
17-Jan,13,0.086,0.579
17-Jan,14,0.044,0.552
17-Jan,15,0.006,0.563
17-Jan,16,0.000,0.599
17-Jan,17,0.000,0.610
17-Jan,18,0.000,0.615
17-Jan,19,0.000,0.616
17-Jan,20,0.000,0.609
17-Jan,21,0.000,0.574
17-Jan,22,0.000,0.541
17-Jan,23,0.000,0.501
18-Jan,0,0.000,0.466
18-Jan,1,0.000,0.418
18-Jan,2,0.000,0.364
18-Jan,3,0.000,0.318
18-Jan,4,0.000,0.285
18-Jan,5,0.000,0.261
18-Jan,6,0.000,0.254
18-Jan,7,0.012,0.232
18-Jan,8,0.072,0.197
18-Jan,9,0.161,0.164
18-Jan,10,0.261,0.134
18-Jan,11,0.317,0.117
18-Jan,12,0.312,0.118
18-Jan,13,0.242,0.116
18-Jan,14,0.114,0.116
18-Jan,15,0.014,0.132
18-Jan,16,0.000,0.164
18-Jan,17,0.000,0.178
18-Jan,18,0.000,0.176
18-Jan,19,0.000,0.168
18-Jan,20,0.000,0.159
18-Jan,21,0.000,0.147
18-Jan,22,0.000,0.133
18-Jan,23,0.000,0.124
19-Jan,0,0.000,0.119
19-Jan,1,0.000,0.105
19-Jan,2,0.000,0.099
19-Jan,3,0.000,0.104
19-Jan,4,0.000,0.101
19-Jan,5,0.000,0.099
19-Jan,6,0.000,0.108
19-Jan,7,0.019,0.114
19-Jan,8,0.128,0.107
19-Jan,9,0.268,0.084
19-Jan,10,0.377,0.060
19-Jan,11,0.413,0.040
19-Jan,12,0.378,0.033
